Run order,Stage,Journey ID,Priority,Automation,Tier,Phase,Manual test,Exact manual steps,Expected result,Automated test exists,What remains manual,Result (PASS/FAIL/BLOCKED/NOT RUN),Tester,Run date,Evidence path or URL,Defect link,Notes
91,E,74,P0,PARTIAL,Both,6 Integrations and gateway,Write tool requires approval,Ask a connector to perform a write action,An approval is required before the external side effect occurs,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Release blocker; use a disposable target
92,E,75,P0,PARTIAL,Both,6 Integrations and gateway,Stop prevents connector side effect,Start a turn likely to propose a write then stop before approval or execution,No message event or other write is created,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Verify at the external system
93,E,76,P0,PARTIAL,Both,6 Integrations and gateway,Expired connector becomes error,Revoke a connector token then trigger tool discovery,The connector changes to an error or reconnect state instead of silently losing tools,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
94,E,77,P1,PARTIAL,Both,6 Integrations and gateway,Dead connector does not hang all tools,Configure several connectors including one unreachable endpoint,Healthy connectors load concurrently and the turn proceeds within the timeout,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
95,E,78,P1,PARTIAL,Both,6 Integrations and gateway,Connector delete removes secrets,Delete a connector and relaunch,It stays deleted and its credential cannot still be used,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,
96,E,79,P0,PROVEN,Both,6 Integrations and gateway,Gateway models endpoint,Open Gateway and call GET /v1/models on 127.0.0.1:7878,A valid OpenAI-compatible response lists the active local model,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
97,E,80,P0,PARTIAL,Both,6 Integrations and gateway,Gateway chat streaming,Send an OpenAI-compatible streaming chat request to the local gateway,SSE chunks arrive and terminate cleanly,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
98,E,81,P1,PARTIAL,Both,6 Integrations and gateway,Gateway image route,Send a valid image generation request through the gateway,The request reaches the active image runtime and returns a usable image result,Yes,"Only the native `sd-cli` executable is faked; the test verifies its PNG reaches the OpenAI-compatible response and disk, plus the missing-runtime path returns a stable `not_installed` envelope.",NOT RUN,,,,,
99,E,82,P1,PARTIAL,Both,6 Integrations and gateway,Gateway failure envelope,Call a route with no suitable model or invalid input,A stable non-HTML error envelope is returned and the app remains healthy,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
100,E,83,P0,PARTIAL,Pro,7 Capture memory and replay,Screen capture permission path,Enable capture and grant macOS Screen Recording permission,New frames begin arriving without an app restart loop,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; mark Core N/A
101,E,84,P0,PARTIAL,Pro,7 Capture memory and replay,Capture disabled means no capture,Turn capture off and work in another app for several minutes,No new replay frames or observations are created,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; privacy gate
102,E,85,P0,PARTIAL,Pro,7 Capture memory and replay,OCR creates searchable memory,Display distinctive text in another app and allow capture processing,Search finds the text or its derived observation,Yes,"ts` drives a normal surface through screenshot, OCR, the real extractor, model transport, and SQLite persistence, then queries the production observation search and retrieves the derived memory; only OS capture/OCR and the native model socket are controlled boundaries.",NOT RUN,,,,,Pro only; allow processing time
103,E,86,P0,PARTIAL,Pro,7 Capture memory and replay,Sensitive or excluded apps are omitted,Use a configured excluded or sensitive application while capture is on,Its content does not appear in replay search or extracted memory,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; privacy gate
104,E,87,P0,PROVEN,Pro,7 Capture memory and replay,Replay timeline renders,Open Replay after seeded or real synthetic capture,Frames appear in chronological order with usable timestamps,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
105,E,88,P1,PARTIAL,Pro,7 Capture memory and replay,Replay playback uses media server,Open a replay session and scrub or play across several moments,Playback responds and media requests succeed on port 7879,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
106,E,89,P1,PROVEN,Pro,7 Capture memory and replay,Replay navigation preserves target,Open a replay hit from Search or Day,Replay opens at the selected moment rather than the start,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
107,E,90,P0,PARTIAL,Pro,7 Capture memory and replay,Unified search finds each source,Search for seeded capture meeting entity and connector records,Each enabled source contributes relevant results,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
108,E,91,P1,PARTIAL,Pro,7 Capture memory and replay,Search filters and sort apply,Toggle source filters and switch Relevant Recent and Match,Results and ordering update without stale rows,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
109,E,92,P1,PARTIAL,Pro,7 Capture memory and replay,Day briefing renders,Open Day on a seeded profile,Priorities meetings suggestions journal time spent and timeline render from real stored data,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
110,E,93,P1,PARTIAL,Pro,7 Capture memory and replay,Day links open correct records,Click a meeting entity action and replay moment from Day,Each opens the intended detail screen and record,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
111,E,95,P0,PARTIAL,Pro,8 Meetings voice and dictation,Meeting detection is truthful,Join and leave a supported call while meeting auto-detect is enabled,Recording starts or prompts according to settings and stops after the call,Yes,ts` drives the production classifier and controller with only active-window/native-recording boundaries controlled.,NOT RUN,,,,,Pro only; real OS boundary
112,E,96,P0,PARTIAL,Pro,8 Meetings voice and dictation,Manual meeting recording,Start and stop a meeting recording from Meetings,One recording is created with sane duration and no lingering mic/system capture,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
113,E,97,P0,PARTIAL,Pro,8 Meetings voice and dictation,Meeting transcript and summary,Record a short synthetic meeting and let processing finish,Transcript matches the audio and summary/action items derive from it,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; do not use private meeting data
114,E,98,P1,PARTIAL,Pro,8 Meetings voice and dictation,Meeting survives relaunch,Quit after a completed recording then reopen,Audio metadata transcript and summary remain accessible,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
115,E,99,P0,PARTIAL,Pro,8 Meetings voice and dictation,Global dictation hotkey,Set Hold Toggle or Both; use Option+Space in another app,Exactly one recording lifecycle occurs according to the selected mode,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; accessibility and microphone permissions required
116,E,100,P0,PARTIAL,Pro,8 Meetings voice and dictation,Dictation pastes at cursor,Place the cursor in TextEdit; dictate a short phrase,The transcript is pasted once at the cursor and the saved recording contains the same text,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; real paste boundary
117,E,101,P1,PARTIAL,Pro,8 Meetings voice and dictation,Dictation paste failure is visible,Remove Accessibility permission and dictate,The transcript is retained and a clear paste-permission error appears,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
118,E,102,P1,PARTIAL,Pro,8 Meetings voice and dictation,Dictation engine selection,Switch between installed Whisper and Parakeet models and dictate,The selected engine runs and produces a transcript without caller-side engine branching,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
119,E,103,P1,PARTIAL,Pro,8 Meetings voice and dictation,Import media for transcription,Drop a supported audio or video file into Voice,Processing finishes and a searchable recording with transcript is created,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
120,E,104,P2,PARTIAL,Pro,8 Meetings voice and dictation,Voice retention settings apply,Set a recording or transcript retention limit and create old test records,Expired records are removed while newer ones remain,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
121,E,105,P1,PARTIAL,Both,8 Meetings voice and dictation,Speak assistant reply,Use the Speak action on an assistant response,Local TTS speaks clean text and does not read markdown syntax,Yes,Only the heavyweight ONNX worker and browser media boundary are controlled.,NOT RUN,,,,,Requires installed TTS model
122,E,106,P0,PARTIAL,Both,8 Meetings voice and dictation,Mic and TTS stop cleanly,Start dictation or speech then stop or navigate away,Native audio activity ends and no background process keeps recording or speaking,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
123,E,107,P1,PARTIAL,Pro,9 Entities actions and reflection,Entities are synthesized,Generate synthetic observations about a person project and company,Entities appear once with correct type aliases and supporting observations,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
124,E,108,P1,PARTIAL,Pro,9 Entities actions and reflection,Self mentions are filtered,Seed the user's identity and an observation referring to self,No duplicate external person entity is created for the user,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
125,E,109,P1,PARTIAL,Pro,9 Entities actions and reflection,Entity detail opens,Open an entity from Search Day or the graph,The same entity detail and related evidence appear across entry points,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
126,E,110,P1,PARTIAL,Pro,9 Entities actions and reflection,Entity merge preserves evidence,Merge two duplicate synthetic entities,One entity remains with combined aliases observations and relationships,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; use disposable data
127,E,111,P1,PARTIAL,Pro,9 Entities actions and reflection,Action items are extracted,Process a synthetic observation or meeting containing a commitment,One correctly worded action item appears with its source,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
128,E,112,P0,PARTIAL,Pro,9 Entities actions and reflection,Approval queue gates actions,Open a proposed action then approve or reject it,Rejected actions do nothing; approved actions execute once and record status,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; use a reversible target
129,E,113,P1,PARTIAL,Pro,9 Entities actions and reflection,Action status survives relaunch,Approve reject and dismiss separate synthetic items then reopen,Each status remains correct with no duplicate execution,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
130,E,114,P1,PARTIAL,Pro,9 Entities actions and reflection,Notifications open their target,Click a meeting prep approval or to-do notification,The intended screen and record open; duplicate notifications are not created,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
131,E,115,P1,PARTIAL,Pro,9 Entities actions and reflection,Reflect uses real time ranges,Open daily and weekly Reflect views on seeded data,Totals labels and source breakdowns match the selected date range,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
132,E,116,P0,PARTIAL,Pro,9 Entities actions and reflection,CRM processing tolerates schema upgrades,Open an upgraded profile with older CRM tables,Migrations add missing columns once and CRM screens load without data loss,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; back up the fixture
133,E,117,P0,PARTIAL,Pro,10 Clipboard and vault,Clipboard records text,Copy distinctive text in another app and open Clipboard,One searchable text item appears with the expected content,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
134,E,118,P1,PROVEN,Pro,10 Clipboard and vault,Clipboard deduplicates repeated copy,Copy the same text repeatedly,The existing item is refreshed according to policy instead of producing noisy duplicates,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
135,E,119,P1,PROVEN,Pro,10 Clipboard and vault,Clipboard records images and files,Copy a synthetic image and a disposable file,Each appears with the correct type and a usable preview or path,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
136,E,120,P1,PARTIAL,Pro,10 Clipboard and vault,Clipboard live refresh keeps valid selection,Select an item while new clipboard events arrive,Selection stays on that item if it exists or moves to a valid item if it was removed,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; regression from this audit
137,E,121,P0,PARTIAL,Pro,10 Clipboard and vault,Clipboard restore text,Choose a historical text item and restore it,Pasting in another app yields the exact text once,Yes,Pasting into another signed app remains manual.,NOT RUN,,,,,Pro only
138,E,122,P0,PARTIAL,Pro,10 Clipboard and vault,Clipboard restore file,Restore a historical copied file then paste into Finder and Terminal,Finder receives the file URL; a text target receives its path,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
139,E,123,P1,PARTIAL,Pro,10 Clipboard and vault,Clipboard popup hotkey,Press Cmd+Shift+C in another app,The compact popup opens; search and keyboard selection restore the chosen item,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
140,E,124,P2,PARTIAL,Pro,10 Clipboard and vault,Clipboard retention applies,Set a short retention policy and use old synthetic rows,Expired history disappears without removing newer items,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only
141,E,125,P0,PARTIAL,Pro,10 Clipboard and vault,Create and unlock vault,Create a vault with a strong test master password then lock and unlock it,Correct password unlocks; incorrect password does not expose items,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; use synthetic secrets
142,E,126,P0,PARTIAL,Pro,10 Clipboard and vault,Vault item types round-trip,Create a login app credential secure note API key and disposable secret file,Each saves reopens edits and deletes with the correct fields,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
143,E,127,P1,PROVEN,Pro,10 Clipboard and vault,Vault copy actions,Copy a synthetic username password and API key from Vault,The expected field reaches the clipboard and no other field is exposed,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only
144,E,128,P0,PARTIAL,Pro,10 Clipboard and vault,Vault recovery and backup,Export or locate the KDBX fixture then exercise the documented recovery flow,The vault remains encrypted and the supported recovery path restores access,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro only; never use a real credential vault
145,E,PR-01,P0,PARTIAL,Pro,"19 Pro entity, action, and service guardrails",No Pro background service activates before entitlement,"Start the production app on a fresh unentitled profile and watch processes, global shortcuts, clipboard, notifications, capture, meetings, tray, media ports, and Pro database writes; then activate and restart.","Before entitlement no Pro service, shortcut, watcher, capture, or write activates; after entitlement each service starts once under its owning lifecycle.",Yes,Observe the exact installed locked and entitled artifact against real OS services.,NOT RUN,,,,,Privacy and open-core release blocker.
146,E,PR-02,P1,PARTIAL,Pro,"19 Pro entity, action, and service guardrails",Manual to-do creation enriches context without pollution,"Jot a synthetic to-do naming a known entity, implied priority, and due date; wait for enrichment; quit and reopen.","The to-do appears immediately, enrichment terminates, preserves the original intent, adds justified entity/date/priority/source context, creates no duplicate entity, and survives relaunch.",Yes,Repeat through the packaged Electron IPC bridge and the selected production local model.,NOT RUN,,,,,Guards entity and contextual to-do quality.
147,E,PR-03,P1,PARTIAL,Pro,"19 Pro entity, action, and service guardrails",Contextual to-do lifecycle preserves source and entity links,"Move a sourced to-do through Open, Waiting, Done, Dismissed, Undo, entity filtering, entity detail, and a stale/deleted source target; relaunch between transitions.","Status/counts persist, Undo restores correctly, entity and provenance stay attached, filters show the same record, and stale targets fail closed without opening another item.",Yes,Repeat the lifecycle through the packaged Electron IPC bridge and verify native notification entry points.,NOT RUN,,,,,Broader than canonical journey #113.
148,E,PR-04,P1,PARTIAL,Pro,"19 Pro entity, action, and service guardrails",Entity correction and extension preserve the guarded record,"Using synthetic multi-source evidence, rename/retype, add/remove alias and fact, set photo, hide/unhide, merge, split/reassign an observation, re-synthesize, then relaunch and open every linked source/action.","One canonical entity owns the right evidence and relationships, rollback/correction is possible, no self/noise duplicate is introduced, and every linked surface follows the surviving ID.",Yes,Add and integrate rendered fact add/remove and observation split controls; neither is invoked by the shipped Entity UI today. Then repeat through packaged Electron IPC.,NOT RUN,,,,,Entity is a protected cross-product unit; this is a release-significant guardrail.
149,E,PR-05,P1,PARTIAL,Pro,"19 Pro entity, action, and service guardrails",Text-only model does not break capture memory,"Select an active text-only model with no vision projector, enable Pro capture, show a unique phrase, and wait for OCR/search/entity processing.","Capture, OCR, text distillation, memory, and search continue; optional layout learning is skipped with readable diagnostics and no repeated vision error.",Yes,Run the installed capture/OCR/search journey with a real text-only model and display.,NOT RUN,,,,,Do not classify this as only a chat attachment test.
150,E,PR-06,P1,PARTIAL,Pro,20 Pro secondary surfaces and controls,Entity graph renders and stays linked to canonical entities,"Open Entity Graph with synthetic people/projects/companies and relationships; search, focus, zoom, reset, rebuild, select a node, and return to entity detail.","The graph remains responsive and legible, uses canonical entity IDs/relationships, rebuild does not duplicate data, and selected nodes open the exact entity.",Yes,Repeat the graph journey through the packaged Electron IPC bridge and inspect layout legibility at release-scale data volume.,NOT RUN,,,,,Actual shipped Pro surface missing from the original CSV.
151,E,PR-07,P1,NONE,Pro,20 Pro secondary surfaces and controls,Memory list and Master Memory lifecycle work,"Open Memories, search, select, delete a disposable memory, refresh, open Master Memory, copy it, regenerate master-only, then regenerate all summaries; interrupt and retry once.","List/search/detail stay consistent, deletion is scoped, regeneration progress terminates, failures are recoverable, copied text is exact, and relaunch restores the completed result.",No,"Exercise production IPC, real local model, clipboard, persistence, and error states.",NOT RUN,,,,,Actual shipped Pro surface missing from the original CSV.
152,E,PR-08,P1,PARTIAL,Pro,20 Pro secondary surfaces and controls,Pro identity and learned-preference settings affect downstream behavior,"Change name/email/aliases, toggle proactive delivery, remove one learned preference, clear all learned preferences, relaunch, then ingest synthetic self/external mentions and request a proposal.","Identity persists and filters self mentions everywhere, delivery follows the toggle, removals stay removed, proposals use current preferences only, and Core settings remain unaffected.",Yes,Drive registered Pro Settings sections through production IPC and verify real downstream entity/action/notification behavior after relaunch.,NOT RUN,,,,,Guards the shared identity/entity boundary.
153,E,PR-09,P2,PARTIAL,Pro,20 Pro secondary surfaces and controls,Notification inbox management remains coherent,"Seed each notification type; filter, open, mark one/all read, delete one, clear all, switch routes, and relaunch.","Unread counts and filters are truthful, actions affect only intended rows, targets remain exact, empty state is clear, and persistence matches the visible inbox.",Yes,Exercise production notification store/IPC and every visible inbox action through relaunch.,NOT RUN,,,,,Actual shipped controls not explicit in the original CSV.
154,E,PR-10,P2,PARTIAL,Pro,20 Pro secondary surfaces and controls,Voice library controls and settings agree with native behavior,"Exercise Hold/Toggle/Both, engine, language, max-items and retention settings; import, search, play, retranscribe, and delete recordings; relaunch.","Each setting owns the real controller behavior, library counts/search/playback are truthful, retranscription replaces correctly, deletion removes owned media only, and settings persist.",Yes,"Join all controls through production IPC, real helpers/audio, media server, and full relaunch.",NOT RUN,,,,,Complements canonical voice journeys.
155,E,PR-11,P2,PARTIAL,Pro,20 Pro secondary surfaces and controls,"Clipboard search, filters, tags, previews, and deletion stay consistent","Create text, rich text, image, and file clips; search, type-filter, tag/untag, keep one selected while new events arrive, preview each type, delete selected/non-selected rows, and relaunch.","Results and selection remain stable, previews match stored bytes, tags persist through dedup, deletion is scoped, and no stale preview or wrong restore target appears.",Yes,Join real poller/store/IPC events with all rendered controls in the installed app.,NOT RUN,,,,,Includes the selected-item regression.
156,E,PR-12,P2,PARTIAL,Pro,20 Pro secondary surfaces and controls,Vault complete CRUD and file handling stay encrypted and scoped,"Search/filter and create, edit, reveal/hide, copy, reopen, export/download, and delete every advertised Vault type including a disposable file; lock and relaunch between actions.","UI fields match type, ciphertext remains unreadable at rest, copies/exports are exact, file preview is safe, deletion is scoped, and no secret leaks into logs or recent UI after lock.",Yes,"Exercise every rendered type/control, file picker/export, locked-state cleanup, and installed-app logs.",NOT RUN,,,,,Use synthetic secrets only.
157,E,CR-01,P1,PARTIAL,Both,21 Core secondary surfaces and controls,Local GGUF import admits only valid models,"Import a valid local GGUF, a truncated/corrupt file, a duplicate, and a path with spaces; activate the valid model and relaunch.","Only valid bytes are copied/registered, duplicates are resolved clearly, invalid files create no phantom model, and the active imported model answers after relaunch.",Yes,Use the installed file picker and a real supported/unsupported GGUF set.,NOT RUN,,,,,Actual Models control not explicit in the original CSV.
158,E,CR-02,P1,PARTIAL,Both,21 Core secondary surfaces and controls,"Project knowledge enable, disable, and delete change retrieval exactly","Attach two synthetic documents, disable one, query both facts, re-enable it, delete the other, relaunch, and query again.","Only enabled, existing documents contribute citations; deletion removes owned chunks without affecting the project or other document; state persists after relaunch.",Yes,Drive the rendered project controls and verify the reopened state in the installed app.,NOT RUN,,,,,Complements attach/retrieval journeys.
159,E,CR-03,P1,PARTIAL,Both,21 Core secondary surfaces and controls,Artifact export and deletion are exact and scoped,"Create text and image artifacts, open gallery/project views, export each to a chosen path, delete one, switch conversations/projects, and relaunch.","Exports match exact content/bytes and safe filenames, deletion removes only the selected artifact/file, no stale preview remains, and surviving artifacts reopen under the right owner.",Yes,Join rendered gallery/project actions with real native save picker and filesystem deletion.,NOT RUN,,,,,Actual chat/project controls not explicit in the original CSV.
160,E,CR-04,P1,PARTIAL,Both,21 Core secondary surfaces and controls,"Chat voice mode records, transcribes, sends, speaks, and stops","Enable voice mode, record a synthetic utterance, stop, inspect transcript, send, hear the reply, interrupt playback, disable voice mode, and relaunch.","One transcript and one user turn appear, playback uses the selected TTS model, Stop releases mic/audio immediately, text mode remains usable, and mode/settings restore correctly.",Yes,"Join real microphone, STT helper/model, rendered chat, exact TTS worker, and audible output on the installed app.",NOT RUN,,,,,Critical full voice journey not represented by TTS-only rows.
161,E,CR-05,P2,PARTIAL,Both,21 Core secondary surfaces and controls,Command palette search and navigation preserve focus and target,"Open the command palette by keyboard from several screens, search seeded records, navigate results with arrows/Enter, use See all, press Escape, and reopen.","Focus is trapped/restored, results are current and typed, Enter opens the exact record, See all preserves query/facets, Escape closes only the palette, and no keystroke leaks to chat.",Yes,Exercise all result types and focus/keyboard behavior in the installed app.,NOT RUN,,,,,Actual Core shell surface missing from the original CSV.
162,E,CR-06,P2,PARTIAL,Both,21 Core secondary surfaces and controls,"Model catalog search, filters, detail, and reset stay coherent","At 1280 and 1800 widths, combine modality tabs, text search, credibility, size, sort, RAM buckets, and use-case filters; open/close details; download/activate/delete; reset filters.","Counts and sections remain truthful, no stale/duplicate card appears, detail reflects the selected model, actions stay adjacent and reachable, and reset returns the complete dense grid.",Yes,Manually combine filters/actions against real catalog and installed models and inspect pixels.,NOT RUN,,,,,Expands canonical density journey #31.
163,E,CR-07,P1,PARTIAL,Both,21 Core secondary surfaces and controls,Connector lifecycle controls stay synchronized,"Add one stdio and one remote connector; test, enable/disable, sync with and without a query, inspect tools, force an error, reconnect, delete, and relaunch.","Status and tools match the real connector, disabled connectors cannot run, sync is bounded, errors recover without blocking others, deletion removes owned secrets, and state persists exactly once.",Yes,Drive every rendered control and real remote/OAuth provider through relaunch.,NOT RUN,,,,,Complements canonical connector tool journeys.
164,E,CR-08,P0,PARTIAL,Both,21 Core secondary surfaces and controls,Normal quit leaves no owned helper or capture resource,"After using chat, image, TTS, STT, gateway, media, meeting, dictation, clipboard, and capture, quit normally and inspect Activity Monitor, microphone/screen indicators, ports 7878/7879/8439, and mounted images.","Every owned process, listener, timer, shortcut, audio/capture resource, and DMG mount is released; committed data reopens and no feature restarts before entitlement/settings allow.",Yes,"Inspect actual host processes, permission indicators, shortcuts, ports, and mounted images after one full signed-app session.",NOT RUN,,,,,Final release stop condition.
165,F,129,P1,PROVEN,Both,11 Settings privacy licensing and updates,Runtime residency toggles persist,Change image STT and TTS residency then relaunch,Each setting persists and actual loading behavior matches it,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
166,F,130,P1,PROVEN,Both,11 Settings privacy licensing and updates,Chat residency stays required,Open runtime residency settings,Chat model displays in-memory required and cannot be toggled off,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
167,F,131,P1,PARTIAL,Both,11 Settings privacy licensing and updates,Resource mode applies,Choose Conservative or another available resource preset,The selected limits and model behavior apply without freezing the UI,Yes,"ts` drives all three presets through the real LLM settings owner, disk persistence, fresh-service launch arguments, recommendation, and setup planner with only host RAM controlled; the Electron tour proves selection stays responsive and the sizing guards enforce memory clamps.",NOT RUN,,,,,
168,F,132,P0,PARTIAL,Both,11 Settings privacy licensing and updates,Settings survive relaunch,Change several model capture privacy update and Pro settings then quit fully,Every changed value restores from the owning store,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
169,F,133,P1,PARTIAL,Both,11 Settings privacy licensing and updates,Storage usage is truthful,Open Storage after downloading models and creating artifacts,Reported totals and per-category sizes roughly match files on disk,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
170,F,137,P0,PARTIAL,Core,11 Settings privacy licensing and updates,Core locked Pro tabs,Run a core build and open every locked Pro navigation item,Each shows the correct Upgrade screen and no Pro implementation loads,Yes,Launching the exact packaged Core artifact remains manual.,NOT RUN,,,,,Core artifact only
171,F,141,P1,PARTIAL,Both,11 Settings privacy licensing and updates,Core and Pro override behavior,Launch dev builds with OFFGRID_PRO=0 and OFFGRID_PRO=1,Overrides force the documented free and Pro states without changing persisted entitlement,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Development check only
172,F,142,P1,PARTIAL,Both,11 Settings privacy licensing and updates,Manual update check,Settings -> Check for updates on stable,The current or available version is reported without a stuck checking state,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Packaged build only
