Release,Journey ID,Phase,Tier,Priority,Manual test,Exact manual steps,Expected result,Automated test exists,Strict automation status,Automation layer,Automated test evidence,What automation proves,What remains manual,Regression confidence,Confidence rationale,Manual result,Tester,Run date,Evidence path or URL,Defect link,Release notes
0.0.40,56,4 Projects and artifacts,Both,P0,Delete project cascades,Create a project with chat messages documents and artifacts then delete it,Project-owned records disappear without phantom badges or orphaned artifacts,Yes,PARTIAL,Integration,src/main/__tests__/project-delete-cascade.dbtest.ts,"Delete project cascades. `src/main/__tests__/project-delete-cascade.dbtest.ts` uses the real project, conversation, message, artifact, document, and chunk paths and proves no orphans remain.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,57,4 Projects and artifacts,Both,P1,Text artifact saves and reopens,Generate or save a text artifact from chat then open it from its list,The exact content opens and remains after relaunch,Yes,PARTIAL,Integration,artifact-persistence.integration.test.ts,"Text artifact saves and reopens. `artifact-persistence.integration.test.ts` saves exact text, title, conversation, and project scope through the production artifact service, reloads its modules, and proves the persisted artifact reopens without content or ownership drift.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,58,4 Projects and artifacts,Both,P1,Image artifact saves and reopens,Generate or save an image artifact then reopen it,The image renders correctly and remains associated with its source,Yes,PARTIAL,Integration + Contract/package gate,,"Image artifact saves and reopens. The same integration writes a real PNG to the disposable user-data tree, persists its metadata through the production artifact service, reloads the service, and proves both its source association and exact image bytes remain available.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,59,4 Projects and artifacts,Both,P2,Project list uses desktop layout,Open Projects with enough seeded items to fill the window,Collection uses multiple columns or an appropriate dense master-detail layout,Yes,COMPLETE,E2E,e2e/projects-layout.spec.ts,"Project list uses desktop layout. `e2e/projects-layout.spec.ts` seeds 12 projects and eight chats through production IPC, then measures the real Electron master-detail geometry, scroll reachability, adjacent detail controls, and a three-plus-column chat grid at desktop width.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,No single 1900px-wide card rows
0.0.40,60,4 Projects and artifacts,Both,P1,Unsupported document fails clearly,Attach an unsupported or damaged file,The file is rejected with a specific reason and no half-indexed document remains,Yes,PARTIAL,Integration,rag-store-integration.dbtest.ts,"Unsupported document fails clearly. The production picker excludes unsupported types; `rag-store-integration.dbtest.ts` drives a corrupt PDF through the real parser, RAG service, and SQLite store and proves extraction fails clearly before documents, chunks, or embeddings exist.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,61,5 Image and vision,Both,P0,Text prompt generates an image,Activate an image model; use image mode; send a prompt,Progress advances through generation and one image renders,Yes,PARTIAL,Automated test,MemoryChat.image.test.tsx,"Text prompt generates an image. `MemoryChat.image.test.tsx` drives the real rendered image composer through its preload boundary, holds the native image job pending, emits live production progress, then proves exactly one generated image reaches the conversation.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,62,5 Image and vision,Both,P0,Image cancellation is scoped,Start image generation in chat A; switch to B; return and stop it,Only A owns the progress and cancellation; B remains idle,Yes,PARTIAL,Integration,,"Image cancellation is scoped. The same rendered integration starts an image job in one conversation, switches conversations, and proves progress and Stop stay with the owning conversation; stopping it calls the native cancellation boundary exactly once.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,63,5 Image and vision,Both,P0,Image cancellation keeps text,Trigger a tool turn that produces text then an image; cancel the image,The text answer remains and is still present after relaunch,Yes,PARTIAL,E2E + Integration,e2e/chat-memory.spec.ts,"Image cancellation keeps text. `e2e/chat-memory.spec.ts` drives a real tool turn through a fake native llama socket, renders and clicks the tool-owned image Stop action during pre-spawn memory reclamation, proves the shared lifecycle prevents `sd-cli` from starting, then fully relaunches Electron on the same real SQLite profile and restores the assistant text.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,64,5 Image and vision,Both,P1,Image settings apply,Change size steps guidance and seed then generate,Output metadata and dimensions reflect the selected values,Yes,PARTIAL,Automated test,MemoryChat.image.test.tsx,"Image settings apply. `MemoryChat.image.test.tsx` drives the real image composer through per-model size, steps, and guidance overrides plus seed and negative prompt, proves the exact payload across remount, and restores generation metadata from persisted conversation context.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,65,5 Image and vision,Both,P1,Image runtime eviction recovers,Generate an image while the chat model is resident then send a chat prompt,The heavy model handoff completes and chat reloads without a dead server,Yes,PARTIAL,Integration,image-runtime-reliability.integration.dbtest.ts,"Image runtime eviction recovers. `image-runtime-reliability.integration.dbtest.ts` starts the real chat service against a native executable boundary, generates an image through the real modality queue to evict it, then proves a second native chat process starts and answers the next message without an application restart.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,66,5 Image and vision,Both,P1,Image RAM guard is safe,Choose an image model that exceeds the configured memory budget,Generation is refused with a clear message unless the explicit override is used,Yes,PARTIAL,Integration + Contract/package gate,image-runtime-reliability.integration.dbtest.ts,"Image RAM guard is safe. `image-runtime-reliability.integration.dbtest.ts` proves an over-budget request stops before native execution, while the rendered integration exposes one explicit `Run anyway` recovery that retries the identical request and scope with the unsafe override and no duplicate turn.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Use a disposable test case; do not induce system-wide OOM
0.0.40,67,5 Image and vision,Both,P1,Generated image opens,Click a generated image thumbnail,The existing lightbox opens; close and save controls work,Yes,PARTIAL,Automated test,MemoryChat.image.test.tsx,"Generated image opens. `MemoryChat.image.test.tsx` opens the generated output in the shared lightbox, exports the exact production path and filename through the native save boundary, and closes the preview without duplicating the artifact.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,68,5 Image and vision,Both,P0,Vision answers about attachment,Activate a vision model; attach an image; ask what it contains,The reply describes the attached image and preserves the text prompt,Yes,PARTIAL,Automated test,,"Vision answers about attachment. The rendered composer processes a ready image attachment, sends its persisted path and the exact typed question through the production vision path, and renders the returned answer.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,69,5 Image and vision,Both,P0,Text-only model guards image input,Attach an image while a text-only model is active,The app does not send unsupported image content; it explains or proceeds text-only without engine garbage,Yes,PARTIAL,Integration + Contract/package gate,,"Text-only model guards image input. The same integration proves an unavailable vision capability produces a visible explanation before image processing or model delivery, then completes a text-only turn normally. Real active-model and projector files now drive the LLM service guard for chat and streaming, and Pro layout learning skips optional vision work for a text-only selection. The rendered test still substitutes the preload/API seam.",The rendered test still substitutes the preload/API seam.,MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,70,5 Image and vision,Both,P1,Damaged image fails safely,Attach a damaged or unsupported image,The app shows a specific error; the conversation remains usable,Yes,PARTIAL,Integration,files-image-upload.dbtest.ts,Damaged image fails safely. `files-image-upload.dbtest.ts` real-decodes image bytes with Sharp and proves invalid content never persists. The rendered composer shows the specific error on the attachment and successfully completes the next text turn.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,71,6 Integrations and gateway,Both,P0,Connector can be added,Integrations -> add a reachable connector and complete its setup,It appears once with a truthful connected state,Yes,PARTIAL,Integration,integration-tests/mcp-connector-setup.dbtest.ts,"Connector can be added. `integration-tests/mcp-connector-setup.dbtest.ts` drives the real Integrations screen through a native IPC boundary adapter into production connector persistence, encrypted SQLite, MCP discovery, and a real stdio child, proving connected appears only after discovery and exactly one row with `read_status` survives database reopen.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,
0.0.40,72,6 Integrations and gateway,Both,P1,Connector tools load,Open a connected connector and inspect its tools,Real remote tools are listed with stable enable states,Yes,PARTIAL,Integration,mcp-connector-tool-extension.dbtest.ts,"Connector tools load. `mcp-connector-tool-extension.dbtest.ts` discovers schemas through the production extension and real connector database, preserving enabled/disabled state while controlling only the remote MCP transport.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,
0.0.40,73,6 Integrations and gateway,Both,P0,Connector tool executes,Enable a read-only connector tool and ask chat to use it,A real tool result appears and the final answer uses it,Yes,PARTIAL,Integration,tools-loop.dbtest.ts,Connector tool executes. The real connector extension executes a read-only tool through its remote boundary and returns the result; `tools-loop.dbtest.ts` proves extension output flows through the production tool loop into the final answer.,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Prefer a reversible read-only tool for release QA
0.0.40,74,6 Integrations and gateway,Both,P0,Write tool requires approval,Ask a connector to perform a write action,An approval is required before the external side effect occurs,Yes,PARTIAL,Integration,mcp-connector-tool-extension.dbtest.ts,Write tool requires approval. `mcp-connector-tool-extension.dbtest.ts` uses real connector state and the production extension to prove a write is queued at the approval boundary before the remote call can execute.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Release blocker; use a disposable target
0.0.40,75,6 Integrations and gateway,Both,P0,Stop prevents connector side effect,Start a turn likely to propose a write then stop before approval or execution,No message event or other write is created,Yes,PARTIAL,Integration + Contract/package gate,tools-loop.dbtest.ts,Stop prevents connector side effect. `tools-loop.dbtest.ts` aborts after the streamed tool call but before extension execution and proves the side-effect implementation is never invoked; the dispatch guard ensures connector tools use that same abstraction.,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Verify at the external system
0.0.40,76,6 Integrations and gateway,Both,P0,Expired connector becomes error,Revoke a connector token then trigger tool discovery,The connector changes to an error or reconnect state instead of silently losing tools,Yes,PARTIAL,Integration,,Expired connector becomes error. The connector integration injects an authorization failure only at the remote boundary and proves the real SQLite connector changes to an error state with an actionable detail while healthy tools remain available.,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,
0.0.40,77,6 Integrations and gateway,Both,P1,Dead connector does not hang all tools,Configure several connectors including one unreachable endpoint,Healthy connectors load concurrently and the turn proceeds within the timeout,Yes,PARTIAL,Integration,mcp-timeout.dbtest.ts,Dead connector does not hang all tools. `mcp-timeout.dbtest.ts` runs the default production extension over real SQLite connectors and the real eight-second timeout; a non-responsive MCP process becomes an error while the healthy connector schema still returns.,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,
0.0.40,78,6 Integrations and gateway,Both,P1,Connector delete removes secrets,Delete a connector and relaunch,It stays deleted and its credential cannot still be used,Yes,PARTIAL,Integration,connector-delete-secrets.dbtest.ts,"Connector delete removes secrets. `connector-delete-secrets.dbtest.ts` deletes through the production connector repository, reopens the encrypted database, and proves all owned OAuth, PKCE, client-registration, and env secrets are gone while unrelated secrets remain readable.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,
0.0.40,79,6 Integrations and gateway,Both,P0,Gateway models endpoint,Open Gateway and call GET /v1/models on 127.0.0.1:7878,A valid OpenAI-compatible response lists the active local model,Yes,COMPLETE,E2E,e2e/smoke.spec.ts,"Gateway models endpoint. `e2e/smoke.spec.ts` starts the real Electron gateway, seeds an active model only inside the disposable profile, calls `/v1/models` over HTTP, and verifies modality metadata in both supported response shapes.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,
0.0.40,80,6 Integrations and gateway,Both,P0,Gateway chat streaming,Send an OpenAI-compatible streaming chat request to the local gateway,SSE chunks arrive and terminate cleanly,Yes,PARTIAL,Integration,model-server-chat.integration.test.ts,"Gateway chat streaming. `model-server-chat.integration.test.ts` sends an OpenAI-compatible streaming request through the real HTTP gateway to a loopback llama-server boundary and proves the first SSE token arrives before upstream completion, later chunks retain their content, and the stream terminates with `[DONE]`.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,81,6 Integrations and gateway,Both,P1,Gateway image route,Send a valid image generation request through the gateway,The request reaches the active image runtime and returns a usable image result,Yes,PARTIAL,Integration,model-server-image.integration.dbtest.ts,"Gateway image route. `model-server-image.integration.dbtest.ts` sends a real HTTP request through the production gateway, image orchestrator, modality queue, SQLite residency owner, argument builder, and generated-image filesystem. Only the native `sd-cli` executable is faked; the test verifies its PNG reaches the OpenAI-compatible response and disk, plus the missing-runtime path returns a stable `not_installed` envelope.","Only the native `sd-cli` executable is faked; the test verifies its PNG reaches the OpenAI-compatible response and disk, plus the missing-runtime path returns a stable `not_installed` envelope.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,82,6 Integrations and gateway,Both,P1,Gateway failure envelope,Call a route with no suitable model or invalid input,A stable non-HTML error envelope is returned and the app remains healthy,Yes,PARTIAL,Integration + Contract/package gate,model-server-chat.integration.test.ts,"Gateway failure envelope. `model-server-chat.integration.test.ts` sends malformed input through the real HTTP gateway, proves it receives the stable OpenAI-style JSON error contract without reaching the native model boundary, then calls the gateway again to verify it stays healthy.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,
0.0.40,83,7 Capture memory and replay,Pro,P0,Screen capture permission path,Enable capture and grant macOS Screen Recording permission,New frames begin arriving without an app restart loop,Yes,PARTIAL,Integration,capture-disabled.integration.test.ts,"Screen capture permission path. `capture-disabled.integration.test.ts` keeps the real production capture interval, focus extractor, settings store, and filesystem writer connected while only the Electron/TCC boundary changes from denied to granted; the next eligible tick writes a frame without restarting the loop or app.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; mark Core N/A
0.0.40,84,7 Capture memory and replay,Pro,P0,Capture disabled means no capture,Turn capture off and work in another app for several minutes,No new replay frames or observations are created,Yes,PARTIAL,Integration,capture-disabled.integration.test.ts,"Capture disabled means no capture. `capture-disabled.integration.test.ts` backs the real capture state machine with the production settings store and proves the persisted privacy pause survives hydration, prevents OS capture work across ticks, and resumes only after user action.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; privacy gate
0.0.40,85,7 Capture memory and replay,Pro,P0,OCR creates searchable memory,Display distinctive text in another app and allow capture processing,Search finds the text or its derived observation,Yes,PARTIAL,Integration,capture-exclusion.dbtest.ts,"OCR creates searchable memory. `capture-exclusion.dbtest.ts` drives a normal surface through screenshot, OCR, the real extractor, model transport, and SQLite persistence, then queries the production observation search and retrieves the derived memory; only OS capture/OCR and the native model socket are controlled boundaries.","ts` drives a normal surface through screenshot, OCR, the real extractor, model transport, and SQLite persistence, then queries the production observation search and retrieves the derived memory; only OS capture/OCR and the native model socket are controlled boundaries.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; allow processing time
0.0.40,86,7 Capture memory and replay,Pro,P0,Sensitive or excluded apps are omitted,Use a configured excluded or sensitive application while capture is on,Its content does not appear in replay search or extracted memory,Yes,PARTIAL,Integration,capture-exclusion.dbtest.ts,"Sensitive or excluded apps are omitted. `capture-exclusion.dbtest.ts` drives the production extractor and real SQLite persistence, with only screenshot/OCR and the model socket at their external boundaries, and proves configured apps, authentication surfaces, private browser windows, and password-manager URLs stop before capture while a normal app still persists.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; privacy gate
0.0.40,87,7 Capture memory and replay,Pro,P0,Replay timeline renders,Open Replay after seeded or real synthetic capture,Frames appear in chronological order with usable timestamps,Yes,COMPLETE,E2E,e2e/pro.spec.ts,"Replay timeline renders. `e2e/pro.spec.ts` uses production Pro seeding to write real PNG and SQLite capture data, independently verifies filesystem chronology matches IPC order, then drives the real Replay UI through every frame and proves image, app, caption, full timestamp, scrubber time, and position remain usable and ordered.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,Pro only
0.0.40,88,7 Capture memory and replay,Pro,P1,Replay playback uses media server,Open a replay session and scrub or play across several moments,Playback responds and media requests succeed on port 7879,Yes,PARTIAL,Integration,media-server.integration.test.ts,"Replay playback uses media server. `media-server.integration.test.ts` runs the real loopback server over temp PNG, MP4, WAV, and byte ranges, while rendered Replay follows its emitted URL, fetches the exact bytes, advances playback, and shares the same media lifecycle with Meetings and Voice.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,89,7 Capture memory and replay,Pro,P1,Replay navigation preserves target,Open a replay hit from Search or Day,Replay opens at the selected moment rather than the start,Yes,COMPLETE,E2E,e2e/pro.spec.ts,"Replay navigation preserves target. `e2e/pro.spec.ts` derives a query from an actual interior capture, opens its visible Search result through the production Pro router, and proves Replay lands on that exact image, app, timestamp, caption, and timeline position rather than the beginning of the session.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,Pro only
0.0.40,90,7 Capture memory and replay,Pro,P0,Unified search finds each source,Search for seeded capture meeting entity and connector records,Each enabled source contributes relevant results,Yes,PARTIAL,Integration + Contract/package gate,pro/main/__tests__/universal-search.dbtest.ts,"Unified search finds each source. `pro/main/__tests__/universal-search.dbtest.ts` writes captured and connector-derived observations plus meeting, entity, fact, memory, chat, and knowledge records through their production SQLite owners, then proves one production search returns every source with its real facet and deep-link identifier.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,91,7 Capture memory and replay,Pro,P1,Search filters and sort apply,Toggle source filters and switch Relevant Recent and Match,Results and ordering update without stale rows,Yes,PARTIAL,Integration + Contract/package gate,SearchScreen.integration.test.tsx,"Search filters and sort apply. The universal-search DB integration proves production source, recency, and match filtering over fresh results; `SearchScreen.integration.test.tsx` drives the rendered filter and sort controls and verifies visible ordering changes without stale rows.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,92,7 Capture memory and replay,Pro,P1,Day briefing renders,Open Day on a seeded profile,Priorities meetings suggestions journal time spent and timeline render from real stored data,Yes,PARTIAL,Integration,DayReplay.integration.test.tsx,"Day briefing renders. `DayReplay.integration.test.tsx` backs the rendered Day view with real SQLite and filesystem owners plus the real LLM service over a native-engine HTTP boundary, then proves priorities, meetings, suggestions, journal, time spent, and timeline all render.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,93,7 Capture memory and replay,Pro,P1,Day links open correct records,Click a meeting entity action and replay moment from Day,Each opens the intended detail screen and record,Yes,PARTIAL,Integration,,"Day links open correct records. The rendered Day integration follows typed production targets to an exact action backed by real SQLite, entity ID, external calendar URL, Replay block timestamp, and meeting; stale action or meeting targets fail closed instead of selecting an unrelated record.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,94,7 Capture memory and replay,Pro,P0,Delete all removes capture corpus,Seed capture observations frames entities and replay data then use Delete all my data,Search Day Entities and Replay are empty after completion and relaunch,Yes,PARTIAL,Integration,pro/main/__tests__/personal-data.dbtest.ts,"Delete all removes capture corpus. `pro/main/__tests__/personal-data.dbtest.ts` registers the real Pro personal-data owner, runs the real delete-all path, and verifies the observations corpus is gone.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; use synthetic data
0.0.40,95,8 Meetings voice and dictation,Pro,P0,Meeting detection is truthful,Join and leave a supported call while meeting auto-detect is enabled,Recording starts or prompts according to settings and stops after the call,Yes,PARTIAL,Integration + Contract/package gate,meeting-lifecycle.integration.test.ts,"Meeting detection is truthful. `meeting-lifecycle.integration.test.ts` drives the production classifier and controller with only active-window/native-recording boundaries controlled. It proves supported presence starts once, explicit lobby/post-call states do not record, leaving warns then stops, and the capture resource is released.",ts` drives the production classifier and controller with only active-window/native-recording boundaries controlled.,MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; real OS boundary
0.0.40,96,8 Meetings voice and dictation,Pro,P0,Manual meeting recording,Start and stop a meeting recording from Meetings,One recording is created with sane duration and no lingering mic/system capture,Yes,PARTIAL,Integration,MeetingsScreen.integration.test.tsx,"Manual meeting recording. `MeetingsScreen.integration.test.tsx` renders the real screen and recorder hook, clicks Record then Stop, and proves exactly one sane-duration completed meeting is visible with capture inactive.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,97,8 Meetings voice and dictation,Pro,P0,Meeting transcript and summary,Record a short synthetic meeting and let processing finish,Transcript matches the audio and summary/action items derive from it,Yes,PARTIAL,Integration + Contract/package gate,meeting-persistence.dbtest.ts,"Meeting transcript and summary. Pro `meeting-persistence.dbtest.ts` sends synthetic WAV bytes through production ffmpeg and Whisper selection, persists the exact transcript, sends it to the local summary boundary, verifies the returned recap retains the named owner, deadline, and next step, folds both into memory, and restores the completed meeting after relaunch.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only; do not use private meeting data
0.0.40,98,8 Meetings voice and dictation,Pro,P1,Meeting survives relaunch,Quit after a completed recording then reopen,Audio metadata transcript and summary remain accessible,Yes,PARTIAL,Integration + Contract/package gate,meeting-persistence.dbtest.ts,"Meeting survives relaunch. `meeting-persistence.dbtest.ts` saves synthetic meeting media, transcript, and local-model summary through production filesystem/SQLite owners, closes the DB, resets modules, and proves the exact audio metadata, transcript, and summary restore.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Pro only
0.0.40,99,8 Meetings voice and dictation,Pro,P0,Global dictation hotkey,Set Hold Toggle or Both; use Option+Space in another app,Exactly one recording lifecycle occurs according to the selected mode,Yes,PARTIAL,Integration + Contract/package gate,dictation-paste-failure.ui.integration.dbtest.ts,"Global dictation hotkey. Pro `dictation-paste-failure.ui.integration.dbtest.ts` connects the production shortcut controller, overlay, recorder, STT, IPC, and database; it proves one Option+Space toggle lifecycle, correct rebind/unregister behavior, and complete resource teardown.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; accessibility and microphone permissions required
0.0.40,100,8 Meetings voice and dictation,Pro,P0,Dictation pastes at cursor,Place the cursor in TextEdit; dictate a short phrase,The transcript is pasted once at the cursor and the saved recording contains the same text,Yes,PARTIAL,Contract/package gate,,"Dictation pastes at cursor. The same connected journey captures the target app, sends the exact transcript once through the native paste boundary, preserves it in the saved recording, and restores the prior clipboard. Real TextEdit caret placement remains a signed-device check.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro only; real paste boundary
